ID,Item title,Final URL,Image URL,Item description,Price
86408051,3BR Apartment for Sale in New Capital City,https://www.propertyfinder.eg/to/A5QN7YTA7PE3KZEZVH9TT3M4JW/en,https://static.shared.propertyfinder.eg/media/images/listing/A5QN7YTA7PE3KZEZVH9TT3M4JW/c9f058cd-ab57-4c5a-9ff6-ac836ba9ce69/1312x894.jpg?v=54c4006c40768b61d01f026ec7225ed1,See the details of this Apartment for Sale in La Verde.,5200000
86408017,3BR Apartment for Sale in New Capital City,https://www.propertyfinder.eg/to/KTJSTC0XADH5W05ENNGB4GE5MG/en,https://static.shared.propertyfinder.eg/media/images/listing/KTJSTC0XADH5W05ENNGB4GE5MG/98a893fd-7ac4-4fb6-bc03-9fed4a042763/1312x894.jpg?v=351a83fcd0c13f58e084e3d392cb6c38,See the details of this Apartment for Sale in Bleu Vert.,8260000
86407969,1BR Chalet for Sale in Ras Al Hekma,https://www.propertyfinder.eg/to/BXABK2WD88B2MQXCPJ19S9W1A8/en,https://static.shared.propertyfinder.eg/media/images/listing/BXABK2WD88B2MQXCPJ19S9W1A8/de36ef40-9458-4c58-b65b-e6cd59a5ad7c/1312x894.jpg?v=2373b5c9b3bd1141be4c08a290297554,See the details of this Chalet for Sale in Direction White.,8100000
86407948,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/ZP5DW1RZAVWCPHAS43S40MRYWM/en,https://static.shared.propertyfinder.eg/media/images/listing/ZP5DW1RZAVWCPHAS43S40MRYWM/0e6de65b-0b6d-4aff-b4e5-4f05d721399b/1312x894.jpg?v=d525492d8a99d431e1a6d82e82bdc79b,See the details of this Apartment for Sale in Stone Residence.,8300000
86407858,3BR Apartment for Sale in Sheikh Zayed City,https://www.propertyfinder.eg/to/BFX8QKQ8AZ96KASCWQCJKCWDG0/en,https://static.shared.propertyfinder.eg/media/images/listing/BFX8QKQ8AZ96KASCWQCJKCWDG0/1e0e493f-55eb-4d10-b32f-ebf2768c9a56/1312x894.jpg?v=979683f1492d1e1f903a81b02146c982,See the details of this Apartment for Sale in Park Side Residence.,6000000
86407744,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/DVJ5JY61CZJ00MFPG5CFGP8B8W/en,https://static.shared.propertyfinder.eg/media/images/listing/DVJ5JY61CZJ00MFPG5CFGP8B8W/c7dee961-e99e-4b9b-b4a2-38a68cfa37ec/1312x894.jpg?v=02a32e1fa0638588673df1b583a0621c,See the details of this Apartment for Sale in Mountain View iCity.,5800000
86407719,3BR Twin House for Sale in New Cairo City,https://www.propertyfinder.eg/to/Y5Q0Z2A66SD69Y625R35Y4E22M/en,https://static.shared.propertyfinder.eg/media/images/listing/Y5Q0Z2A66SD69Y625R35Y4E22M/cbac3d68-22d5-44f0-9ccc-06b3746d3686/1312x894.jpg?v=55e9dead683051dac0e0e5bc5a218cce,See the details of this Twin House for Sale in Saada Compound.,19700000
86407672,2BR Apartment for Sale in New Capital City,https://www.propertyfinder.eg/to/G1TJR7Y7A1TSWQZ451KCHKWSD4/en,https://static.shared.propertyfinder.eg/media/images/listing/G1TJR7Y7A1TSWQZ451KCHKWSD4/9a8e78ee-e1bc-4208-b973-6b4349350e8e/1312x894.jpg?v=211a0e7c7f886d93013752dc609af19f,See the details of this Apartment for Sale in IL Bosco.,4610000
86407670,4BR Townhouse for Sale in New Cairo City,https://www.propertyfinder.eg/to/KT4MH8XTYK7SHG668XC0XA910M/en,https://static.shared.propertyfinder.eg/media/images/listing/KT4MH8XTYK7SHG668XC0XA910M/9a718d6d-d146-4711-a0e1-f99a59ea674a/1312x894.jpg?v=0442043cf461d686cfa8f2a4ebd64971,See the details of this Townhouse for Sale in Layan Residence.,18000000
86407624,3BR Apartment for Sale in New Capital City,https://www.propertyfinder.eg/to/AC0VY5TGT4NFFYX5F0ZVF82PE8/en,https://static.shared.propertyfinder.eg/media/images/listing/AC0VY5TGT4NFFYX5F0ZVF82PE8/eb3cf158-62d5-416d-a08b-705e1f658f6e/1312x894.jpg?v=ee7ba3b0f315a7ecaea6a847fca83fad,See the details of this Apartment for Sale in La Vista City.,4800000
86407609,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/K8SXHKHVHZVPHK8QS9W4E0D6A0/en,https://static.shared.propertyfinder.eg/media/images/listing/K8SXHKHVHZVPHK8QS9W4E0D6A0/09d61e39-4aa1-4183-aa10-51f1579b2faa/1312x894.jpg?v=774c3ec9306eda3e0c6af9b208a6823e,See the details of this Apartment for Sale in Garden Residence.,11000000
86407587,3BR Villa for Sale in New Cairo City,https://www.propertyfinder.eg/to/W3TG4TJ2ZE8AB0HF2YANHJ1PX8/en,https://static.shared.propertyfinder.eg/media/images/listing/W3TG4TJ2ZE8AB0HF2YANHJ1PX8/2ff92da4-1f79-433f-ad4c-e08686034bc3/1312x894.jpg?v=382b1c58240105cdfda396e6f12f32d4,See the details of this Villa for Sale in Garden Residence.,15000000
86407525,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/BVF0A84SNEKYZZBQ6Z1KS907DG/en,https://static.shared.propertyfinder.eg/media/images/listing/BVF0A84SNEKYZZBQ6Z1KS907DG/c4e2fb4e-2d80-485b-b438-dcc5a9359769/1312x894.jpg?v=02a32e1fa0638588673df1b583a0621c,See the details of this Apartment for Sale in Mountain View iCity.,8200000
86407496,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/XAGDB2FHA74F2ABRZKR4QD7AMG/en,https://static.shared.propertyfinder.eg/media/images/listing/XAGDB2FHA74F2ABRZKR4QD7AMG/dbff7682-4d99-4851-833e-53818df6c534/1312x894.jpg?v=78c31b48c15299c223a49b873ac08c31,See the details of this Apartment for Sale in Mountain View iCity.,7500000
86407463,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/WYZWR94PQD95B9FP6BEK072M5C/en,https://static.shared.propertyfinder.eg/media/images/listing/WYZWR94PQD95B9FP6BEK072M5C/7f6d4307-9ca3-43c3-9585-2918c7e12bc6/1312x894.jpg?v=269f0dc62c02f792d9785a1dd94cde44,See the details of this Apartment for Sale in Mountain View iCity.,7200000
86407260,4BR Villa for Sale in Sheikh Zayed City,https://www.propertyfinder.eg/to/TXKKJQYX2G552FJSZC9BHP9PH8/en,https://static.shared.propertyfinder.eg/media/images/listing/TXKKJQYX2G552FJSZC9BHP9PH8/0a7b5be7-c667-44d2-a110-f1641037fece/1312x894.jpg?v=f82a6514570b62d6454a0e7ddca67f09,See the details of this Villa for Sale in Etapa.,5000000
86407170,7BR Villa for Sale in New Cairo City,https://www.propertyfinder.eg/to/PSSB39021MGMWT53HS69BAEETW/en,https://static.shared.propertyfinder.eg/media/images/listing/PSSB39021MGMWT53HS69BAEETW/87b8837b-d0a7-4727-bd9f-4ded91b4cc03/1312x894.jpg?v=c9111f07215ce971e2d0a12e9af37df4,See the details of this Villa for Sale in Palm Hills New Cairo.,33000000
